image,subj_ident_pre,subj_ident_gray,subj_ident_post,verbal_acc_pre,verbal_acc_gray,verbal_acc_post,sem_dist_pre,sem_dist_gray,sem_dist_post,sem_entropy_pre,sem_entropy_gray,sem_entropy_post,diff_mean_subj_ident,diff_mean_verbal_acc,diff_mean_sem_dist,diff_mean_sem_entropy,info_gain_sem_dist,info_gain_entropy,info_gain_sem_dist_gray,info_gain_entropy_gray
aardvark,0.1764705882352941,0.8823529411764706,0.9411764705882352,0.0,0.0588235294117647,0.0588235294117647,0.6093865423329088,0.3511698258333558,0.4064591578648069,3.2776134368191157,2.2810361125534233,2.94770277922009,0.7647058823529411,0.0588235294117647,-0.20292738446810188,-0.3299106575990258,0.20292738446810188,0.3299106575990258,0.25821671649955297,0.9965773242656923
abacus,0.7727272727272727,0.9545454545454546,1.0,0.5909090909090909,0.6363636363636364,0.6363636363636364,0.1163514778622089,0.1406534734075208,0.1406534734075208,0.9933927290103626,1.208648950953065,1.208648950953065,0.2272727272727273,0.045454545454545414,0.0243019955453119,0.21525622194270233,-0.0243019955453119,-0.21525622194270233,-0.0243019955453119,-0.21525622194270233
accordion,0.7368421052631579,0.8947368421052632,1.0,0.3684210526315789,0.5263157894736842,0.5789473684210527,0.2133248868936887,0.1395807227048088,0.1413352945883936,1.8230264907128848,1.6922718656836109,1.8490070880144416,0.26315789473684215,0.21052631578947373,-0.07198959230529509,0.025980597301556774,0.07198959230529509,-0.025980597301556774,0.07374416418887988,0.13075462502927393
acorn,0.25,0.9166666666666666,0.875,0.2083333333333333,0.7083333333333334,0.6666666666666666,0.4120374654396188,0.0963442154060855,0.1072042457577063,3.2607845582978525,1.0848063548455138,1.2494602799216177,0.625,0.45833333333333337,-0.30483321968191246,-2.011324278376235,0.30483321968191246,2.011324278376235,0.31569325003353327,2.1759782034523387
air_conditioner,0.6875,0.875,0.875,0.1875,0.625,0.4375,0.5209656559205965,0.1931200737985557,0.2069143647841669,2.739572261986723,0.9182958340544896,1.4315602842833155,0.1875,0.25,-0.3140512911364296,-1.3080119777034074,0.3140512911364296,1.3080119777034074,0.32784558212204085,1.8212764279322333
air_mattress,0.25,1.0,0.5416666666666666,0.0,0.2083333333333333,0.0833333333333333,0.6505199393484955,0.3894641215636995,0.5642166109234231,3.530493056757482,2.889549430862088,3.8365916681089782,0.29166666666666663,0.0833333333333333,-0.08630332842507238,0.3060986113514961,0.08630332842507238,-0.3060986113514961,0.26105581778479603,0.6409436258953942
air_pump,0.4705882352941176,0.9411764705882352,0.8823529411764706,0.0,0.0588235294117647,0.1176470588235294,0.5180354781512396,0.3762239236511046,0.3865385982600609,2.5503407095463886,1.570950594454669,2.2221915755066783,0.411764705882353,0.1176470588235294,-0.13149687989117875,-0.32814913403971024,0.13149687989117875,0.32814913403971024,0.14181155450013505,0.9793901150917197
airbag,0.1875,0.9375,0.8125,0.0,0.75,0.625,0.2475477220809525,0.0903017846282584,0.094503668776158,2.29882524500305,0.9055872616982604,1.7987949406953985,0.625,0.625,-0.15304405330479448,-0.5000303043076517,0.15304405330479448,0.5000303043076517,0.1572459374526941,1.3932379833047897
airboat,0.5333333333333333,1.0,1.0,0.0,0.0666666666666666,0.0666666666666666,0.6458741719383937,0.5096848858680263,0.5096848858680263,3.0220552088742,2.625814583693911,2.625814583693911,0.4666666666666667,0.0666666666666666,-0.1361892860703674,-0.396240625180289,0.1361892860703674,0.396240625180289,0.1361892860703674,0.396240625180289
aircraft_carrier,0.4375,0.875,0.875,0.1875,0.3125,0.3125,0.503639781752671,0.2880531843261545,0.3359303426797814,2.6887218755408666,1.8262452584026092,2.0662478973127314,0.4375,0.125,-0.1677094390728896,-0.6224739782281352,0.1677094390728896,0.6224739782281352,0.21558659742651648,0.8624766171382574
